datetime,totale_positivi
2020-01-21 18:00:00,0
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,0
2020-01-25 18:00:00,1
2020-01-26 18:00:00,2
2020-01-27 18:00:00,2
2020-01-28 18:00:00,2
2020-01-29 18:00:00,2
2020-01-30 18:00:00,2
2020-01-31 18:00:00,3
2020-02-01 18:00:00,3
2020-02-02 18:00:00,6
2020-02-03 18:00:00,6
2020-02-04 18:00:00,6
2020-02-05 18:00:00,6
2020-02-06 18:00:00,6
2020-02-07 18:00:00,6
2020-02-08 18:00:00,6
2020-02-09 18:00:00,6
2020-02-10 18:00:00,7
2020-02-11 18:00:00,7
2020-02-12 18:00:00,7
2020-02-13 18:00:00,7
2020-02-14 18:00:00,7
2020-02-15 18:00:00,7
2020-02-16 18:00:00,7
2020-02-17 18:00:00,7
2020-02-18 18:00:00,7
2020-02-19 18:00:00,7
2020-02-20 18:00:00,8
2020-02-21 18:00:00,9
2020-02-22 18:00:00,9
2020-02-23 18:00:00,9
2020-02-24 18:00:00,11
2020-02-25 18:00:00,11
2020-02-26 18:00:00,26
2020-02-27 18:00:00,26
2020-02-28 18:00:00,27
2020-02-29 18:00:00,28
2020-03-01 18:00:00,33
2020-03-02 18:00:00,38
2020-03-03 18:00:00,45
2020-03-04 18:00:00,55
2020-03-05 18:00:00,67
2020-03-06 18:00:00,81
2020-03-07 18:00:00,100
2020-03-08 18:00:00,112
2020-03-09 18:00:00,172
2020-03-10 18:00:00,179
2020-03-11 18:00:00,202
2020-03-12 18:00:00,252
2020-03-13 18:00:00,320
2020-03-14 18:00:00,381
2020-03-15 18:00:00,478
2020-03-16 18:00:00,588
2020-03-17 18:00:00,732
2020-03-18 18:00:00,893
2020-03-19 18:00:00,1067
2020-03-20 18:00:00,1283
2020-03-21 18:00:00,1544
2020-03-22 18:00:00,1851
2020-03-23 18:00:00,2240
2020-03-24 18:00:00,2644
2020-03-25 18:00:00,3183
2020-03-26 18:00:00,4060
2020-03-27 18:00:00,4915
2020-03-28 18:00:00,5566
2020-03-29 18:00:00,6321
2020-03-30 18:00:00,7421
2020-03-31 18:00:00,8583
2020-04-01 18:00:00,9857
2020-04-02 18:00:00,11190
2020-04-03 18:00:00,12569
2020-04-04 18:00:00,13796
2020-04-05 18:00:00,15202
2020-04-06 18:00:00,16361
2020-04-07 18:00:00,17540
2020-04-08 18:00:00,19043
2020-04-09 18:00:00,20191
2020-04-10 18:00:00,21366
2020-04-11 18:00:00,22421
2020-04-12 18:00:00,23323
2020-04-13 18:00:00,24334
2020-04-14 18:00:00,25758
2020-04-15 18:00:00,27107
2020-04-16 18:00:00,28142
2020-04-17 18:00:00,29398
2020-04-18 18:00:00,30829
2020-04-19 18:00:00,31544
2020-04-20 18:00:00,33862
2020-04-21 18:00:00,35844
2020-04-22 18:00:00,37573
2020-04-23 18:00:00,39534
2020-04-24 18:00:00,41368
2020-04-25 18:00:00,42590
2020-04-26 18:00:00,43691
2020-04-27 18:00:00,45208
2020-04-28 18:00:00,46570
2020-04-29 18:00:00,48904
2020-04-30 18:00:00,50470
2020-05-01 18:00:00,52318
2020-05-02 18:00:00,53753
2020-05-03 18:00:00,55072
2020-05-04 18:00:00,56333
2020-05-05 18:00:00,58848
2020-05-06 18:00:00,60787
2020-05-07 18:00:00,62481
2020-05-08 18:00:00,64616
2020-05-09 18:00:00,66824
2020-05-10 18:00:00,68051
2020-05-11 18:00:00,69514
2020-05-12 18:00:00,71150
2020-05-13 18:00:00,73218
2020-05-14 18:00:00,74947
2020-05-15 18:00:00,77015
2020-05-16 18:00:00,78933
2020-05-17 18:00:00,80366
2020-05-18 18:00:00,81943
2020-05-19 18:00:00,83981
2020-05-20 18:00:00,86125
2020-05-21 18:00:00,88488
2020-05-22 18:00:00,90801
2020-05-23 18:00:00,92815
2020-05-24 18:00:00,94743
2020-05-25 18:00:00,97017
2020-05-26 18:00:00,99925
2020-05-27 18:00:00,101874
2020-05-28 18:00:00,104071
2020-05-29 18:00:00,107043
2020-05-30 18:00:00,110100
2020-05-31 18:00:00,113114
2020-06-01 18:00:00,115643
2020-06-02 18:00:00,118081
2020-06-03 18:00:00,120407
2020-06-04 18:00:00,122917
2020-06-05 18:00:00,126510
2020-06-06 18:00:00,129147
2020-06-07 18:00:00,131997
2020-06-08 18:00:00,134287
2020-06-09 18:00:00,137245
2020-06-10 18:00:00,140139
2020-06-11 18:00:00,143709
2020-06-12 18:00:00,147285
2020-06-13 18:00:00,150434
2020-06-14 18:00:00,152953
2020-06-15 18:00:00,155662
2020-06-16 18:00:00,159131
2020-06-17 18:00:00,163381
2020-06-18 18:00:00,167135
2020-06-19 18:00:00,170843
2020-06-20 18:00:00,174854
2020-06-21 18:00:00,178807
2020-06-22 18:00:00,184620
2020-06-23 18:00:00,191039
2020-06-24 18:00:00,195889
2020-06-25 18:00:00,201413
2020-06-26 18:00:00,207027
2020-06-27 18:00:00,211453
2020-06-28 18:00:00,216955
2020-06-29 18:00:00,223995
2020-06-30 18:00:00,232153
