datetime,totale_positivi
2020-02-24 18:00:00,221
2020-02-25 18:00:00,311
2020-02-26 18:00:00,385
2020-02-27 18:00:00,588
2020-02-28 18:00:00,821
2020-02-29 18:00:00,1049
2020-03-01 18:00:00,1577
2020-03-02 18:00:00,1835
2020-03-03 18:00:00,2263
2020-03-04 18:00:00,2706
2020-03-05 18:00:00,3296
2020-03-06 18:00:00,3916
2020-03-07 18:00:00,5061
2020-03-08 18:00:00,6387
2020-03-09 18:00:00,7985
2020-03-10 18:00:00,8514
2020-03-11 17:00:00,10590
2020-03-12 17:00:00,12839
2020-03-13 17:00:00,14955
2020-03-14 17:00:00,17750
2020-03-15 17:00:00,20603
2020-03-16 17:00:00,23073
2020-03-17 17:00:00,26062
2020-03-18 17:00:00,28710
2020-03-19 17:00:00,33190
2020-03-20 17:00:00,37860
2020-03-21 17:00:00,42681
2020-03-22 17:00:00,46638
2020-03-23 17:00:00,50418
2020-03-24 17:00:00,54030
2020-03-25 17:00:00,57521
2020-03-26 17:00:00,62013
2020-03-27 17:00:00,66414
2020-03-28 17:00:00,70065
2020-03-29 17:00:00,73880
2020-03-30 17:00:00,75528
2020-03-31 17:00:00,77635
2020-04-01 17:00:00,80572
2020-04-02 17:00:00,83049
2020-04-03 17:00:00,85388
2020-04-04 17:00:00,88274
2020-04-05 17:00:00,91246
2020-04-06 17:00:00,93187
2020-04-07 17:00:00,94067
2020-04-08 17:00:00,95262
2020-04-09 17:00:00,96877
2020-04-10 17:00:00,98273
2020-04-11 17:00:00,100269
2020-04-12 17:00:00,102253
2020-04-13 17:00:00,103616
2020-04-14 17:00:00,104291
2020-04-15 17:00:00,105418
2020-04-16 17:00:00,106607
2020-04-17 17:00:00,106962
2020-04-18 17:00:00,107771
2020-04-19 17:00:00,108257
2020-04-20 17:00:00,108237
2020-04-21 17:00:00,107709
2020-04-22 17:00:00,107699
2020-04-23 17:00:00,106848
2020-04-24 17:00:00,106527
2020-04-25 17:00:00,105847
2020-04-26 17:00:00,106103
2020-04-27 17:00:00,105813
2020-04-28 17:00:00,105205
2020-04-29 17:00:00,104657
2020-04-30 17:00:00,101551
2020-05-01 17:00:00,100943
2020-05-02 17:00:00,100704
2020-05-03 17:00:00,100179
2020-05-04 17:00:00,99980
2020-05-05 17:00:00,98467
2020-05-06 17:00:00,91528
2020-05-07 17:00:00,89624
2020-05-08 17:00:00,87961
2020-05-09 17:00:00,84842
2020-05-10 17:00:00,83324
2020-05-11 17:00:00,82488
2020-05-12 17:00:00,81266
2020-05-13 17:00:00,78457
2020-05-14 17:00:00,76440
2020-05-15 17:00:00,72070
2020-05-16 17:00:00,70187
2020-05-17 17:00:00,68351
2020-05-18 17:00:00,66553
2020-05-19 17:00:00,65129
2020-05-20 17:00:00,62752
2020-05-21 17:00:00,60960
2020-05-22 17:00:00,59322
2020-05-23 17:00:00,57752
2020-05-24 17:00:00,56594
2020-05-25 17:00:00,55300
2020-05-26 17:00:00,52942
2020-05-27 17:00:00,50966
2020-05-28 17:00:00,47986
2020-05-29 17:00:00,46175
2020-05-30 17:00:00,43691
2020-05-31 17:00:00,42097
2020-06-01 17:00:00,41367
2020-06-02 17:00:00,39893
2020-06-03 17:00:00,39297
2020-06-04 17:00:00,38429
2020-06-05 17:00:00,36976
2020-06-06 17:00:00,35877
2020-06-07 17:00:00,35262
2020-06-08 17:00:00,34730
2020-06-09 17:00:00,32872
2020-06-10 17:00:00,31710
2020-06-11 17:00:00,30637
2020-06-12 17:00:00,28997
2020-06-13 17:00:00,27485
2020-06-14 17:00:00,26274
2020-06-15 17:00:00,25909
2020-06-16 17:00:00,24569
2020-06-17 17:00:00,23925
2020-06-18 17:00:00,23101
2020-06-19 17:00:00,21543
2020-06-20 17:00:00,21212
2020-06-21 17:00:00,20972
2020-06-22 17:00:00,20637
2020-06-23 17:00:00,19573
2020-06-24 17:00:00,18655
2020-06-25 17:00:00,18303
2020-06-26 17:00:00,17638
2020-06-27 17:00:00,16836
2020-06-28 17:00:00,16681
2020-06-29 17:00:00,16496
2020-06-30 17:00:00,15563
2020-07-01 17:00:00,15255
