datetime,totale_positivi
01/07/2020,541
30/06/2020,1324
29/06/2020,0
28/06/2020,0
27/06/2020,1588
26/06/2020,0
25/06/2020,81
24/06/2020,517
23/06/2020,373
22/06/2020,284
21/06/2020,641
20/06/2020,811
19/06/2020,467
18/06/2020,458
17/06/2020,344
16/06/2020,152
15/06/2020,407
14/06/2020,526
13/06/2020,726
12/06/2020,425
11/06/2020,545
10/06/2020,403
09/06/2020,211
08/06/2020,343
07/06/2020,579
06/06/2020,611
05/06/2020,767
04/06/2020,352
03/06/2020,-766
02/06/2020,338
01/06/2020,257
31/05/2020,1828
30/05/2020,597
29/05/2020,3325
28/05/2020,191
27/05/2020,276
26/05/2020,358
25/05/2020,115
24/05/2020,240
23/05/2020,403
22/05/2020,318
21/05/2020,418
20/05/2020,524
19/05/2020,492
18/05/2020,120
17/05/2020,372
16/05/2020,563
15/05/2020,622
14/05/2020,507
13/05/2020,708
12/05/2020,456
11/05/2020,209
10/05/2020,433
09/05/2020,642
08/05/2020,629
07/05/2020,4183
06/05/2020,1104
05/05/2020,576
04/05/2020,308
03/05/2020,794
02/05/2020,604
01/05/2020,1139
30/04/2020,1607
29/04/2020,1065
28/04/2020,1195
27/04/2020,461
26/04/2020,1537
25/04/2020,1773
24/04/2020,1653
23/04/2020,1827
22/04/2020,2667
21/04/2020,2051
20/04/2020,785
19/04/2020,2569
18/04/2020,405
17/04/2020,2641
16/04/2020,2633
15/04/2020,5497
14/04/2020,2673
13/04/2020,1613
12/04/2020,3114
11/04/2020,4342
10/04/2020,4286
09/04/2020,3881
08/04/2020,3777
07/04/2020,3912
06/04/2020,1873
05/04/2020,4267
04/04/2020,5233
03/04/2020,2116
02/04/2020,4861
01/04/2020,7578
31/03/2020,4376
30/03/2020,2599
29/03/2020,4611
28/03/2020,3809
27/03/2020,3922
26/03/2020,2931
25/03/2020,2446
24/03/2020,3838
23/03/2020,1559
22/03/2020,1847
21/03/2020,1617
20/03/2020,1861
19/03/2020,1404
18/03/2020,1097
17/03/2020,1210
16/03/2020,924
15/03/2020,838
14/03/2020,785
13/03/2020,595
12/03/2020,497
11/03/2020,372
10/03/2020,286
09/03/2020,410
08/03/2020,103
07/03/2020,190
06/03/2020,138
05/03/2020,73
04/03/2020,34
03/03/2020,48
02/03/2020,30
01/03/2020,43
29/02/2020,19
28/02/2020,21
27/02/2020,3
26/02/2020,2
25/02/2020,0
24/02/2020,0
23/02/2020,0
22/02/2020,0
21/02/2020,0
20/02/2020,0
19/02/2020,0
18/02/2020,0
17/02/2020,1
16/02/2020,0
15/02/2020,0
14/02/2020,0
13/02/2020,0
12/02/2020,0
11/02/2020,0
10/02/2020,0
09/02/2020,0
08/02/2020,5
07/02/2020,0
06/02/2020,0
05/02/2020,0
04/02/2020,0
03/02/2020,0
02/02/2020,0
01/02/2020,0
31/01/2020,1
30/01/2020,1
29/01/2020,1
28/01/2020,0
27/01/2020,0
26/01/2020,0
25/01/2020,3
24/01/2020,0
23/01/2020,0
22/01/2020,0
21/01/2020,0
20/01/2020,0
19/01/2020,0
18/01/2020,0
17/01/2020,0
16/01/2020,0
15/01/2020,0
14/01/2020,0
13/01/2020,0
12/01/2020,0
11/01/2020,0
10/01/2020,0
09/01/2020,0
08/01/2020,0
07/01/2020,0
06/01/2020,0
05/01/2020,0
04/01/2020,0
03/01/2020,0
02/01/2020,0
01/01/2020,0
31/12/2019,0
