datetime,totale_positivi
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,0
2020-01-25 18:00:00,0
2020-01-26 18:00:00,0
2020-01-27 18:00:00,0
2020-01-28 18:00:00,0
2020-01-29 18:00:00,0
2020-01-30 18:00:00,0
2020-01-31 18:00:00,0
2020-02-01 18:00:00,0
2020-02-02 18:00:00,0
2020-02-03 18:00:00,0
2020-02-04 18:00:00,0
2020-02-05 18:00:00,0
2020-02-06 18:00:00,0
2020-02-07 18:00:00,0
2020-02-08 18:00:00,0
2020-02-09 18:00:00,0
2020-02-10 18:00:00,0
2020-02-11 18:00:00,0
2020-02-12 18:00:00,0
2020-02-13 18:00:00,0
2020-02-14 18:00:00,0
2020-02-15 18:00:00,0
2020-02-16 18:00:00,0
2020-02-17 18:00:00,0
2020-02-18 18:00:00,0
2020-02-19 18:00:00,0
2020-02-20 18:00:00,0
2020-02-21 18:00:00,0
2020-02-22 18:00:00,0
2020-02-23 18:00:00,0
2020-02-24 18:00:00,0
2020-02-25 18:00:00,2
2020-02-26 18:00:00,2
2020-02-27 18:00:00,3
2020-02-28 18:00:00,3
2020-02-29 18:00:00,9
2020-03-01 18:00:00,14
2020-03-02 18:00:00,18
2020-03-03 18:00:00,21
2020-03-04 18:00:00,29
2020-03-05 18:00:00,41
2020-03-06 18:00:00,55
2020-03-07 18:00:00,79
2020-03-08 18:00:00,104
2020-03-09 18:00:00,131
2020-03-10 18:00:00,182
2020-03-11 18:00:00,246
2020-03-12 18:00:00,302
2020-03-13 18:00:00,504
2020-03-14 18:00:00,655
2020-03-15 18:00:00,860
2020-03-16 18:00:00,1018
2020-03-17 18:00:00,1332
2020-03-18 18:00:00,1646
2020-03-19 18:00:00,2013
2020-03-20 18:00:00,2388
2020-03-21 18:00:00,2814
2020-03-22 18:00:00,3582
2020-03-23 18:00:00,4474
2020-03-24 18:00:00,5283
2020-03-25 18:00:00,5588
2020-03-26 18:00:00,6909
2020-03-27 18:00:00,7657
2020-03-28 18:00:00,8271
2020-03-29 18:00:00,8788
2020-03-30 18:00:00,9618
2020-03-31 18:00:00,10180
2020-04-01 18:00:00,10711
2020-04-02 18:00:00,11129
2020-04-03 18:00:00,11524
2020-04-04 18:00:00,11781
2020-04-05 18:00:00,12051
2020-04-06 18:00:00,12297
2020-04-07 18:00:00,12639
2020-04-08 18:00:00,12942
2020-04-09 18:00:00,13244
2020-04-10 18:00:00,13555
2020-04-11 18:00:00,13806
2020-04-12 18:00:00,13945
2020-04-13 18:00:00,14041
2020-04-14 18:00:00,14226
2020-04-15 18:00:00,14336
2020-04-16 18:00:00,14476
2020-04-17 18:00:00,14595
2020-04-18 18:00:00,14671
2020-04-19 18:00:00,14749
2020-04-20 18:00:00,14795
2020-04-21 18:00:00,14873
2020-04-22 18:00:00,14925
2020-04-23 18:00:00,15002
2020-04-24 18:00:00,15071
2020-04-25 18:00:00,15148
2020-04-26 18:00:00,15225
2020-04-27 18:00:00,15274
2020-04-28 18:00:00,15357
2020-04-29 18:00:00,15402
2020-04-30 18:00:00,15452
2020-05-01 18:00:00,15531
2020-05-02 18:00:00,15558
2020-05-03 18:00:00,15597
2020-05-04 18:00:00,15621
2020-05-05 18:00:00,15650
2020-05-06 18:00:00,15684
2020-05-07 18:00:00,15752
2020-05-08 18:00:00,15774
2020-05-09 18:00:00,15833
2020-05-10 18:00:00,15871
2020-05-11 18:00:00,15882
2020-05-12 18:00:00,15961
2020-05-13 18:00:00,15997
2020-05-14 18:00:00,16058
2020-05-15 18:00:00,16109
2020-05-16 18:00:00,16201
2020-05-17 18:00:00,16242
2020-05-18 18:00:00,16269
2020-05-19 18:00:00,16321
2020-05-20 18:00:00,16353
2020-05-21 18:00:00,16404
2020-05-22 18:00:00,16436
2020-05-23 18:00:00,16486
2020-05-24 18:00:00,16503
2020-05-25 18:00:00,16539
2020-05-26 18:00:00,16557
2020-05-27 18:00:00,16591
2020-05-28 18:00:00,16628
2020-05-29 18:00:00,16655
2020-05-30 18:00:00,16685
2020-05-31 18:00:00,16731
2020-06-01 18:00:00,16733
2020-06-02 18:00:00,16759
2020-06-03 18:00:00,16771
2020-06-04 18:00:00,16805
2020-06-05 18:00:00,16843
2020-06-06 18:00:00,16898
2020-06-07 18:00:00,16902
2020-06-08 18:00:00,16968
2020-06-09 18:00:00,16979
2020-06-10 18:00:00,17005
2020-06-11 18:00:00,17034
2020-06-12 18:00:00,17064
2020-06-13 18:00:00,17078
2020-06-14 18:00:00,17109
2020-06-15 18:00:00,17135
2020-06-16 18:00:00,17189
2020-06-17 18:00:00,17203
2020-06-18 18:00:00,17223
2020-06-19 18:00:00,17271
2020-06-20 18:00:00,17323
2020-06-21 18:00:00,17341
2020-06-22 18:00:00,17380
2020-06-23 18:00:00,17408
2020-06-24 18:00:00,17449
2020-06-25 18:00:00,17477
2020-06-26 18:00:00,17522
2020-06-27 18:00:00,17580
2020-06-28 18:00:00,17654
2020-06-29 18:00:00,17723
2020-06-30 18:00:00,17766
2020-07-01 18:00:00,17873
