datetime,totale_positivi
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,2
2020-01-25 18:00:00,3
2020-01-26 18:00:00,3
2020-01-27 18:00:00,3
2020-01-28 18:00:00,4
2020-01-29 18:00:00,5
2020-01-30 18:00:00,5
2020-01-31 18:00:00,5
2020-02-01 18:00:00,6
2020-02-02 18:00:00,6
2020-02-03 18:00:00,6
2020-02-04 18:00:00,6
2020-02-05 18:00:00,6
2020-02-06 18:00:00,6
2020-02-07 18:00:00,6
2020-02-08 18:00:00,11
2020-02-09 18:00:00,11
2020-02-10 18:00:00,11
2020-02-11 18:00:00,11
2020-02-12 18:00:00,11
2020-02-13 18:00:00,11
2020-02-14 18:00:00,11
2020-02-15 18:00:00,12
2020-02-16 18:00:00,12
2020-02-17 18:00:00,12
2020-02-18 18:00:00,12
2020-02-19 18:00:00,12
2020-02-20 18:00:00,12
2020-02-21 18:00:00,12
2020-02-22 18:00:00,12
2020-02-23 18:00:00,12
2020-02-24 18:00:00,12
2020-02-25 18:00:00,14
2020-02-26 18:00:00,18
2020-02-27 18:00:00,38
2020-02-28 18:00:00,57
2020-02-29 18:00:00,100
2020-03-01 18:00:00,130
2020-03-02 18:00:00,191
2020-03-03 18:00:00,204
2020-03-04 18:00:00,285
2020-03-05 18:00:00,377
2020-03-06 18:00:00,653
2020-03-07 18:00:00,949
2020-03-08 18:00:00,1126
2020-03-09 18:00:00,1209
2020-03-10 18:00:00,1784
2020-03-11 18:00:00,2281
2020-03-12 18:00:00,2281
2020-03-13 18:00:00,3661
2020-03-14 18:00:00,4469
2020-03-15 18:00:00,4499
2020-03-16 18:00:00,6633
2020-03-17 18:00:00,7652
2020-03-18 18:00:00,9043
2020-03-19 18:00:00,10871
2020-03-20 18:00:00,12612
2020-03-21 18:00:00,14282
2020-03-22 18:00:00,16018
2020-03-23 18:00:00,19856
2020-03-24 18:00:00,22304
2020-03-25 18:00:00,25233
2020-03-26 18:00:00,29155
2020-03-27 18:00:00,32964
2020-03-28 18:00:00,37575
2020-03-29 18:00:00,40174
2020-03-30 18:00:00,44550
2020-03-31 18:00:00,52128
2020-04-01 18:00:00,56989
2020-04-02 18:00:00,59105
2020-04-03 18:00:00,64338
2020-04-04 18:00:00,68605
2020-04-05 18:00:00,70478
2020-04-06 18:00:00,74390
2020-04-07 18:00:00,78167
2020-04-08 18:00:00,82048
2020-04-09 18:00:00,86334
2020-04-10 18:00:00,90676
2020-04-11 18:00:00,93790
2020-04-12 18:00:00,120633
2020-04-13 18:00:00,124298
2020-04-14 18:00:00,129257
2020-04-15 18:00:00,132473
2020-04-16 18:00:00,144944
2020-04-17 18:00:00,146923
2020-04-18 18:00:00,146906
2020-04-19 18:00:00,151808
2020-04-20 18:00:00,154188
2020-04-21 18:00:00,156921
2020-04-22 18:00:00,154715
2020-04-23 18:00:00,157026
2020-04-24 18:00:00,158636
2020-04-25 18:00:00,160292
2020-04-26 18:00:00,160847
2020-04-27 18:00:00,164589
2020-04-28 18:00:00,167605
2020-04-29 18:00:00,165093
2020-04-30 18:00:00,165764
2020-05-01 18:00:00,165764
2020-05-02 18:00:00,166976
2020-05-03 18:00:00,167272
2020-05-04 18:00:00,167886
2020-05-05 18:00:00,168935
2020-05-06 18:00:00,172465
2020-05-07 18:00:00,173040
2020-05-08 18:00:00,174318
2020-05-09 18:00:00,174758
2020-05-10 18:00:00,175027
2020-05-11 18:00:00,175479
2020-05-12 18:00:00,176207
2020-05-13 18:00:00,175981
2020-05-14 18:00:00,176712
2020-05-15 18:00:00,177319
2020-05-16 18:00:00,177207
2020-05-17 18:00:00,177240
2020-05-18 18:00:00,177554
2020-05-19 18:00:00,178428
2020-05-20 18:00:00,179069
2020-05-21 18:00:00,179306
2020-05-22 18:00:00,179645
2020-05-23 18:00:00,179964
2020-05-24 18:00:00,179859
2020-05-25 18:00:00,180166
2020-05-26 18:00:00,179887
2020-05-27 18:00:00,180044
2020-05-28 18:00:00,183309
2020-05-29 18:00:00,183816
2020-05-30 18:00:00,185616
2020-05-31 18:00:00,185851
2020-06-01 18:00:00,185952
2020-06-02 18:00:00,185112
2020-06-03 18:00:00,185440
2020-06-04 18:00:00,186118
2020-06-05 18:00:00,186670
2020-06-06 18:00:00,187199
2020-06-07 18:00:00,187492
2020-06-08 18:00:00,187590
2020-06-09 18:00:00,187925
2020-06-10 18:00:00,188322
2020-06-11 18:00:00,188680
2020-06-12 18:00:00,189244
2020-06-13 18:00:00,189637
2020-06-14 18:00:00,189928
2020-06-15 18:00:00,189996
2020-06-16 18:00:00,190223
2020-06-17 18:00:00,190534
2020-06-18 18:00:00,190735
2020-06-19 18:00:00,191304
2020-06-20 18:00:00,191740
2020-06-21 18:00:00,191745
