datetime,totale_positivi
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,0
2020-01-25 18:00:00,0
2020-01-26 18:00:00,0
2020-01-27 18:00:00,1
2020-01-28 18:00:00,4
2020-01-29 18:00:00,4
2020-01-30 18:00:00,4
2020-01-31 18:00:00,5
2020-02-01 18:00:00,8
2020-02-02 18:00:00,10
2020-02-03 18:00:00,12
2020-02-04 18:00:00,12
2020-02-05 18:00:00,12
2020-02-06 18:00:00,12
2020-02-07 18:00:00,13
2020-02-08 18:00:00,13
2020-02-09 18:00:00,14
2020-02-10 18:00:00,14
2020-02-11 18:00:00,16
2020-02-12 18:00:00,16
2020-02-13 18:00:00,16
2020-02-14 18:00:00,16
2020-02-15 18:00:00,16
2020-02-16 18:00:00,16
2020-02-17 18:00:00,16
2020-02-18 18:00:00,16
2020-02-19 18:00:00,16
2020-02-20 18:00:00,16
2020-02-21 18:00:00,16
2020-02-22 18:00:00,16
2020-02-23 18:00:00,16
2020-02-24 18:00:00,16
2020-02-25 18:00:00,17
2020-02-26 18:00:00,27
2020-02-27 18:00:00,46
2020-02-28 18:00:00,48
2020-02-29 18:00:00,79
2020-03-01 18:00:00,130
2020-03-02 18:00:00,159
2020-03-03 18:00:00,196
2020-03-04 18:00:00,262
2020-03-05 18:00:00,482
2020-03-06 18:00:00,670
2020-03-07 18:00:00,799
2020-03-08 18:00:00,1040
2020-03-09 18:00:00,1176
2020-03-10 18:00:00,1457
2020-03-11 18:00:00,1908
2020-03-12 18:00:00,2078
2020-03-13 18:00:00,3675
2020-03-14 18:00:00,4585
2020-03-15 18:00:00,5795
2020-03-16 18:00:00,7272
2020-03-17 18:00:00,9257
2020-03-18 18:00:00,12327
2020-03-19 18:00:00,15320
2020-03-20 18:00:00,19848
2020-03-21 18:00:00,22213
2020-03-22 18:00:00,24873
2020-03-23 18:00:00,29056
2020-03-24 18:00:00,32986
2020-03-25 18:00:00,37323
2020-03-26 18:00:00,43938
2020-03-27 18:00:00,50871
2020-03-28 18:00:00,57695
2020-03-29 18:00:00,62095
2020-03-30 18:00:00,66885
2020-03-31 18:00:00,71808
2020-04-01 18:00:00,77872
2020-04-02 18:00:00,84794
2020-04-03 18:00:00,91159
2020-04-04 18:00:00,96092
2020-04-05 18:00:00,100123
2020-04-06 18:00:00,103374
2020-04-07 18:00:00,107663
2020-04-08 18:00:00,113296
2020-04-09 18:00:00,118181
2020-04-10 18:00:00,122171
2020-04-11 18:00:00,124908
2020-04-12 18:00:00,127854
2020-04-13 18:00:00,130072
2020-04-14 18:00:00,131359
2020-04-15 18:00:00,134753
2020-04-16 18:00:00,137698
2020-04-17 18:00:00,141397
2020-04-18 18:00:00,143342
2020-04-19 18:00:00,145184
2020-04-20 18:00:00,147065
2020-04-21 18:00:00,148291
2020-04-22 18:00:00,150648
2020-04-23 18:00:00,153129
2020-04-24 18:00:00,154999
2020-04-25 18:00:00,156513
2020-04-26 18:00:00,157770
2020-04-27 18:00:00,158758
2020-04-28 18:00:00,159912
2020-04-29 18:00:00,161539
2020-04-30 18:00:00,163009
2020-05-01 18:00:00,164077
2020-05-02 18:00:00,164967
2020-05-03 18:00:00,165664
2020-05-04 18:00:00,166152
2020-05-05 18:00:00,167007
2020-05-06 18:00:00,168162
2020-05-07 18:00:00,169430
2020-05-08 18:00:00,170588
2020-05-09 18:00:00,171324
2020-05-10 18:00:00,171879
2020-05-11 18:00:00,172576
2020-05-12 18:00:00,173171
2020-05-13 18:00:00,174098
2020-05-14 18:00:00,174478
2020-05-15 18:00:00,175233
2020-05-16 18:00:00,175752
2020-05-17 18:00:00,176369
2020-05-18 18:00:00,176551
2020-05-19 18:00:00,177778
2020-05-20 18:00:00,178473
2020-05-21 18:00:00,179021
2020-05-22 18:00:00,179710
2020-05-23 18:00:00,179986
2020-05-24 18:00:00,180328
2020-05-25 18:00:00,180600
2020-05-26 18:00:00,181200
2020-05-27 18:00:00,181524
2020-05-28 18:00:00,182196
2020-05-29 18:00:00,182922
2020-05-30 18:00:00,183189
2020-05-31 18:00:00,183410
2020-06-01 18:00:00,183594
2020-06-02 18:00:00,183879
2020-06-03 18:00:00,184121
2020-06-04 18:00:00,184472
2020-06-05 18:00:00,184924
2020-06-06 18:00:00,185450
2020-06-07 18:00:00,185750
2020-06-08 18:00:00,186109
2020-06-09 18:00:00,186506
2020-06-10 18:00:00,186522
2020-06-11 18:00:00,186691
2020-06-12 18:00:00,187226
2020-06-13 18:00:00,187267
2020-06-14 18:00:00,187518
2020-06-15 18:00:00,187682
2020-06-16 18:00:00,188252
2020-06-17 18:00:00,188604
2020-06-18 18:00:00,189817
2020-06-19 18:00:00,190299
2020-06-20 18:00:00,190670
2020-06-21 18:00:00,191272
2020-06-22 18:00:00,191768
2020-06-23 18:00:00,192480
2020-06-24 18:00:00,192871
2020-06-25 18:00:00,193371
2020-06-26 18:00:00,194036
2020-06-27 18:00:00,194458
2020-06-28 18:00:00,194693
2020-06-29 18:00:00,195042
2020-06-30 18:00:00,195418
2020-07-01 18:00:00,195893
