datetime,totale_positivi
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,0
2020-01-25 18:00:00,0
2020-01-26 18:00:00,0
2020-01-27 18:00:00,0
2020-01-28 18:00:00,0
2020-01-29 18:00:00,0
2020-01-30 18:00:00,1
2020-01-31 18:00:00,1
2020-02-01 18:00:00,1
2020-02-02 18:00:00,2
2020-02-03 18:00:00,3
2020-02-04 18:00:00,3
2020-02-05 18:00:00,3
2020-02-06 18:00:00,3
2020-02-07 18:00:00,3
2020-02-08 18:00:00,3
2020-02-09 18:00:00,3
2020-02-10 18:00:00,3
2020-02-11 18:00:00,3
2020-02-12 18:00:00,3
2020-02-13 18:00:00,3
2020-02-14 18:00:00,3
2020-02-15 18:00:00,3
2020-02-16 18:00:00,3
2020-02-17 18:00:00,3
2020-02-18 18:00:00,3
2020-02-19 18:00:00,3
2020-02-20 18:00:00,3
2020-02-21 18:00:00,3
2020-02-22 18:00:00,3
2020-02-23 18:00:00,3
2020-02-24 18:00:00,3
2020-02-25 18:00:00,3
2020-02-26 18:00:00,3
2020-02-27 18:00:00,3
2020-02-28 18:00:00,3
2020-02-29 18:00:00,3
2020-03-01 18:00:00,3
2020-03-02 18:00:00,5
2020-03-03 18:00:00,5
2020-03-04 18:00:00,28
2020-03-05 18:00:00,30
2020-03-06 18:00:00,31
2020-03-07 18:00:00,34
2020-03-08 18:00:00,39
2020-03-09 18:00:00,43
2020-03-10 18:00:00,56
2020-03-11 18:00:00,62
2020-03-12 18:00:00,73
2020-03-13 18:00:00,82
2020-03-14 18:00:00,102
2020-03-15 18:00:00,113
2020-03-16 18:00:00,119
2020-03-17 18:00:00,142
2020-03-18 18:00:00,156
2020-03-19 18:00:00,194
2020-03-20 18:00:00,244
2020-03-21 18:00:00,330
2020-03-22 18:00:00,396
2020-03-23 18:00:00,499
2020-03-24 18:00:00,536
2020-03-25 18:00:00,657
2020-03-26 18:00:00,727
2020-03-27 18:00:00,887
2020-03-28 18:00:00,987
2020-03-29 18:00:00,1024
2020-03-30 18:00:00,1251
2020-03-31 18:00:00,1397
2020-04-01 18:00:00,1998
2020-04-02 18:00:00,2543
2020-04-03 18:00:00,2567
2020-04-04 18:00:00,3082
2020-04-05 18:00:00,3588
2020-04-06 18:00:00,4778
2020-04-07 18:00:00,5311
2020-04-08 18:00:00,5916
2020-04-09 18:00:00,6725
2020-04-10 18:00:00,7598
2020-04-11 18:00:00,8446
2020-04-12 18:00:00,9205
2020-04-13 18:00:00,10453
2020-04-14 18:00:00,11487
2020-04-15 18:00:00,12322
2020-04-16 18:00:00,13430
2020-04-17 18:00:00,14352
2020-04-18 18:00:00,15722
2020-04-19 18:00:00,17615
2020-04-20 18:00:00,18539
2020-04-21 18:00:00,20080
2020-04-22 18:00:00,21370
2020-04-23 18:00:00,23077
2020-04-24 18:00:00,24530
2020-04-25 18:00:00,26283
2020-04-26 18:00:00,27890
2020-04-27 18:00:00,29451
2020-04-28 18:00:00,31324
2020-04-29 18:00:00,33062
2020-04-30 18:00:00,34863
2020-05-01 18:00:00,37257
2020-05-02 18:00:00,39699
2020-05-03 18:00:00,42505
2020-05-04 18:00:00,46437
2020-05-05 18:00:00,49400
2020-05-06 18:00:00,52987
2020-05-07 18:00:00,56351
2020-05-08 18:00:00,59695
2020-05-09 18:00:00,62808
2020-05-10 18:00:00,67161
2020-05-11 18:00:00,70768
2020-05-12 18:00:00,74292
2020-05-13 18:00:00,78055
2020-05-14 18:00:00,81997
2020-05-15 18:00:00,85784
2020-05-16 18:00:00,90648
2020-05-17 18:00:00,95698
2020-05-18 18:00:00,100328
2020-05-19 18:00:00,106475
2020-05-20 18:00:00,112028
2020-05-21 18:00:00,118226
2020-05-22 18:00:00,124794
2020-05-23 18:00:00,131423
2020-05-24 18:00:00,138536
2020-05-25 18:00:00,144950
2020-05-26 18:00:00,150793
2020-05-27 18:00:00,158086
2020-05-28 18:00:00,165386
2020-05-29 18:00:00,173491
2020-05-30 18:00:00,181827
2020-05-31 18:00:00,190609
2020-06-01 18:00:00,198370
2020-06-02 18:00:00,207191
2020-06-03 18:00:00,216824
2020-06-04 18:00:00,226713
2020-06-05 18:00:00,236184
2020-06-06 18:00:00,246622
2020-06-07 18:00:00,257486
2020-06-08 18:00:00,265928
2020-06-09 18:00:00,276146
2020-06-10 18:00:00,286605
2020-06-11 18:00:00,297535
2020-06-12 18:00:00,308993
2020-06-13 18:00:00,320922
2020-06-14 18:00:00,332424
2020-06-15 18:00:00,343091
2020-06-16 18:00:00,354065
2020-06-17 18:00:00,366946
2020-06-18 18:00:00,380532
2020-06-19 18:00:00,395048
2020-06-20 18:00:00,410451
2020-06-21 18:00:00,425282
