datetime,totale_positivi
2020-01-22 18:00:00,0
2020-01-23 18:00:00,0
2020-01-24 18:00:00,0
2020-01-25 18:00:00,0
2020-01-26 18:00:00,0
2020-01-27 18:00:00,0
2020-01-28 18:00:00,0
2020-01-29 18:00:00,0
2020-01-30 18:00:00,0
2020-01-31 18:00:00,2
2020-02-01 18:00:00,2
2020-02-02 18:00:00,2
2020-02-03 18:00:00,2
2020-02-04 18:00:00,2
2020-02-05 18:00:00,2
2020-02-06 18:00:00,2
2020-02-07 18:00:00,2
2020-02-08 18:00:00,2
2020-02-09 18:00:00,2
2020-02-10 18:00:00,2
2020-02-11 18:00:00,2
2020-02-12 18:00:00,2
2020-02-13 18:00:00,2
2020-02-14 18:00:00,2
2020-02-15 18:00:00,2
2020-02-16 18:00:00,2
2020-02-17 18:00:00,2
2020-02-18 18:00:00,2
2020-02-19 18:00:00,2
2020-02-20 18:00:00,2
2020-02-21 18:00:00,2
2020-02-22 18:00:00,2
2020-02-23 18:00:00,2
2020-02-24 18:00:00,2
2020-02-25 18:00:00,2
2020-02-26 18:00:00,2
2020-02-27 18:00:00,2
2020-02-28 18:00:00,2
2020-02-29 18:00:00,2
2020-03-01 18:00:00,2
2020-03-02 18:00:00,3
2020-03-03 18:00:00,3
2020-03-04 18:00:00,3
2020-03-05 18:00:00,4
2020-03-06 18:00:00,13
2020-03-07 18:00:00,13
2020-03-08 18:00:00,17
2020-03-09 18:00:00,17
2020-03-10 18:00:00,20
2020-03-11 18:00:00,20
2020-03-12 18:00:00,28
2020-03-13 18:00:00,45
2020-03-14 18:00:00,59
2020-03-15 18:00:00,63
2020-03-16 18:00:00,90
2020-03-17 18:00:00,114
2020-03-18 18:00:00,147
2020-03-19 18:00:00,199
2020-03-20 18:00:00,253
2020-03-21 18:00:00,306
2020-03-22 18:00:00,367
2020-03-23 18:00:00,438
2020-03-24 18:00:00,495
2020-03-25 18:00:00,658
2020-03-26 18:00:00,840
2020-03-27 18:00:00,1036
2020-03-28 18:00:00,1264
2020-03-29 18:00:00,1534
2020-03-30 18:00:00,1836
2020-03-31 18:00:00,2337
2020-04-01 18:00:00,2777
2020-04-02 18:00:00,3548
2020-04-03 18:00:00,4149
2020-04-04 18:00:00,4731
2020-04-05 18:00:00,5389
2020-04-06 18:00:00,6343
2020-04-07 18:00:00,7497
2020-04-08 18:00:00,8672
2020-04-09 18:00:00,10131
2020-04-10 18:00:00,11917
2020-04-11 18:00:00,13584
2020-04-12 18:00:00,15770
2020-04-13 18:00:00,18328
2020-04-14 18:00:00,21102
2020-04-15 18:00:00,24490
2020-04-16 18:00:00,27938
2020-04-17 18:00:00,32008
2020-04-18 18:00:00,36793
2020-04-19 18:00:00,42853
2020-04-20 18:00:00,47121
2020-04-21 18:00:00,52763
2020-04-22 18:00:00,57999
2020-04-23 18:00:00,62773
2020-04-24 18:00:00,68622
2020-04-25 18:00:00,74588
2020-04-26 18:00:00,80949
2020-04-27 18:00:00,87147
2020-04-28 18:00:00,93558
2020-04-29 18:00:00,99399
2020-04-30 18:00:00,106498
2020-05-01 18:00:00,114431
2020-05-02 18:00:00,124054
2020-05-03 18:00:00,134687
2020-05-04 18:00:00,145268
2020-05-05 18:00:00,155370
2020-05-06 18:00:00,165929
2020-05-07 18:00:00,177160
2020-05-08 18:00:00,187859
2020-05-09 18:00:00,198676
2020-05-10 18:00:00,209688
2020-05-11 18:00:00,221344
2020-05-12 18:00:00,232243
2020-05-13 18:00:00,242271
2020-05-14 18:00:00,252245
2020-05-15 18:00:00,262843
2020-05-16 18:00:00,272043
2020-05-17 18:00:00,281752
2020-05-18 18:00:00,290678
2020-05-19 18:00:00,299941
2020-05-20 18:00:00,308705
2020-05-21 18:00:00,317554
2020-05-22 18:00:00,326448
2020-05-23 18:00:00,335882
2020-05-24 18:00:00,344481
2020-05-25 18:00:00,353427
2020-05-26 18:00:00,362342
2020-05-27 18:00:00,370680
2020-05-28 18:00:00,379051
2020-05-29 18:00:00,387623
2020-05-30 18:00:00,396575
2020-05-31 18:00:00,405843
2020-06-01 18:00:00,414328
2020-06-02 18:00:00,423186
2020-06-03 18:00:00,431715
2020-06-04 18:00:00,440538
2020-06-05 18:00:00,449256
2020-06-06 18:00:00,458102
2020-06-07 18:00:00,467073
2020-06-08 18:00:00,476043
2020-06-09 18:00:00,484630
2020-06-10 18:00:00,493023
2020-06-11 18:00:00,501800
2020-06-12 18:00:00,510761
2020-06-13 18:00:00,519458
2020-06-14 18:00:00,528267
2020-06-15 18:00:00,536484
2020-06-16 18:00:00,544725
2020-06-17 18:00:00,552549
2020-06-18 18:00:00,560321
2020-06-19 18:00:00,568292
2020-06-20 18:00:00,576162
2020-06-21 18:00:00,583879
2020-06-22 18:00:00,591465
2020-06-23 18:00:00,598878
2020-06-24 18:00:00,606043
2020-06-25 18:00:00,613148
2020-06-26 18:00:00,619936
2020-06-27 18:00:00,626779
2020-06-28 18:00:00,633563
2020-06-29 18:00:00,640246
2020-06-30 18:00:00,646929
2020-07-01 18:00:00,653479
