datetime,totale_positivi
2020-01-22 18:00:00,1
2020-01-23 18:00:00,1
2020-01-24 18:00:00,1
2020-01-25 18:00:00,1
2020-01-26 18:00:00,1
2020-01-27 18:00:00,1
2020-01-28 18:00:00,1
2020-01-29 18:00:00,1
2020-01-30 18:00:00,20
2020-01-31 18:00:00,20
2020-02-01 18:00:00,20
2020-02-02 18:00:00,20
2020-02-03 18:00:00,60
2020-02-04 18:00:00,60
2020-02-05 18:00:00,10
2020-02-06 18:00:00,10
2020-02-07 18:00:00,10
2020-02-08 18:00:00,40
2020-02-09 18:00:00,10
2020-02-10 18:00:00,10
2020-02-11 18:00:00,10
2020-02-12 18:00:00,10
2020-02-13 18:00:00,10
2020-02-14 18:00:00,10
2020-02-15 18:00:00,10
2020-02-16 18:00:00,10
2020-02-17 18:00:00,10
2020-02-18 18:00:00,10
2020-02-19 18:00:00,10
2020-02-20 18:00:00,10
2020-02-21 18:00:00,10
2020-02-22 18:00:00,10
2020-02-23 18:00:00,50
2020-02-24 18:00:00,20
2020-02-25 18:00:00,40
2020-02-26 18:00:00,30
2020-02-27 18:00:00,60
2020-02-28 18:00:00,120
2020-02-29 18:00:00,40
2020-03-01 18:00:00,310
2020-03-02 18:00:00,390
2020-03-03 18:00:00,520
2020-03-04 18:00:00,490
2020-03-05 18:00:00,470
2020-03-06 18:00:00,730
2020-03-07 18:00:00,470
2020-03-08 18:00:00,500
2020-03-09 18:00:00,1250
2020-03-10 18:00:00,2230
2020-03-11 18:00:00,3580
2020-03-12 18:00:00,4200
2020-03-13 18:00:00,3930
2020-03-14 18:00:00,3170
2020-03-15 18:00:00,3970
2020-03-16 18:00:00,5460
2020-03-17 18:00:00,6790
2020-03-18 18:00:00,9090
2020-03-19 18:00:00,9310
2020-03-20 18:00:00,10810
2020-03-21 18:00:00,10340
2020-03-22 18:00:00,12080
2020-03-23 18:00:00,20160
2020-03-24 18:00:00,20210
2020-03-25 18:00:00,22640
2020-03-26 18:00:00,26090
2020-03-27 18:00:00,26580
2020-03-28 18:00:00,23720
2020-03-29 18:00:00,24330
2020-03-30 18:00:00,35140
2020-03-31 18:00:00,37600
2020-04-01 18:00:00,40800
2020-04-02 18:00:00,40170
2020-04-03 18:00:00,40480
2020-04-04 18:00:00,33250
2020-04-05 18:00:00,30330
2020-04-06 18:00:00,43300
2020-04-07 18:00:00,44760
2020-04-08 18:00:00,42420
2020-04-09 18:00:00,40150
2020-04-10 18:00:00,35080
2020-04-11 18:00:00,30090
2020-04-12 18:00:00,27020
2020-04-13 18:00:00,33060
2020-04-14 18:00:00,34170
2020-04-15 18:00:00,36010
2020-04-16 18:00:00,34400
2020-04-17 18:00:00,34260
2020-04-18 18:00:00,25660
2020-04-19 18:00:00,20820
2020-04-20 18:00:00,30740
2020-04-21 18:00:00,29910
2020-04-22 18:00:00,27640
2020-04-23 18:00:00,27720
2020-04-24 18:00:00,27700
2020-04-25 18:00:00,18100
2020-04-26 18:00:00,14050
2020-04-27 18:00:00,22210
2020-04-28 18:00:00,22840
2020-04-29 18:00:00,23490
2020-04-30 18:00:00,21220
2020-05-01 18:00:00,19490
2020-05-02 18:00:00,12450
2020-05-03 18:00:00,9600
2020-05-04 18:00:00,16170
2020-05-05 18:00:00,16070
2020-05-06 18:00:00,14400
2020-05-07 18:00:00,14450
2020-05-08 18:00:00,10250
2020-05-09 18:00:00,8940
2020-05-10 18:00:00,7280
2020-05-11 18:00:00,12490
2020-05-12 18:00:00,11040
2020-05-13 18:00:00,10810
2020-05-14 18:00:00,9070
2020-05-15 18:00:00,9090
2020-05-16 18:00:00,6340
2020-05-17 18:00:00,6340
2020-05-18 18:00:00,9450
2020-05-19 18:00:00,10200
2020-05-20 18:00:00,8240
2020-05-21 18:00:00,7460
2020-05-22 18:00:00,7090
2020-05-23 18:00:00,4540
2020-05-24 18:00:00,3850
2020-05-25 18:00:00,5100
2020-05-26 18:00:00,5430
2020-05-27 18:00:00,5410
2020-05-28 18:00:00,4530
2020-05-29 18:00:00,4350
2020-05-30 18:00:00,3420
2020-05-31 18:00:00,3040
2020-06-01 18:00:00,4510
2020-06-02 18:00:00,4800
2020-06-03 18:00:00,4420
2020-06-04 18:00:00,3140
2020-06-05 18:00:00,3220
2020-06-06 18:00:00,2100
2020-06-07 18:00:00,2050
2020-06-08 18:00:00,2990
2020-06-09 18:00:00,3090
2020-06-10 18:00:00,3650
2020-06-11 18:00:00,2730
2020-06-12 18:00:00,2680
2020-06-13 18:00:00,2590
2020-06-14 18:00:00,2090
2020-06-15 18:00:00,2810
2020-06-16 18:00:00,3060
2020-06-17 18:00:00,2900
2020-06-18 18:00:00,2460
2020-06-19 18:00:00,2310
2020-06-20 18:00:00,1520
2020-06-21 18:00:00,1240
