datetime,totale_positivi
2020-01-22 18:00:00,1
2020-01-23 18:00:00,1
2020-01-24 18:00:00,2
2020-01-25 18:00:00,2
2020-01-26 18:00:00,5
2020-01-27 18:00:00,5
2020-01-28 18:00:00,5
2020-01-29 18:00:00,5
2020-01-30 18:00:00,5
2020-01-31 18:00:00,7
2020-02-01 18:00:00,8
2020-02-02 18:00:00,8
2020-02-03 18:00:00,11
2020-02-04 18:00:00,11
2020-02-05 18:00:00,11
2020-02-06 18:00:00,11
2020-02-07 18:00:00,11
2020-02-08 18:00:00,11
2020-02-09 18:00:00,11
2020-02-10 18:00:00,11
2020-02-11 18:00:00,12
2020-02-12 18:00:00,12
2020-02-13 18:00:00,13
2020-02-14 18:00:00,13
2020-02-15 18:00:00,13
2020-02-16 18:00:00,13
2020-02-17 18:00:00,13
2020-02-18 18:00:00,13
2020-02-19 18:00:00,13
2020-02-20 18:00:00,13
2020-02-21 18:00:00,15
2020-02-22 18:00:00,15
2020-02-23 18:00:00,15
2020-02-24 18:00:00,15
2020-02-25 18:00:00,15
2020-02-26 18:00:00,15
2020-02-27 18:00:00,16
2020-02-28 18:00:00,16
2020-02-29 18:00:00,24
2020-03-01 18:00:00,30
2020-03-02 18:00:00,53
2020-03-03 18:00:00,73
2020-03-04 18:00:00,104
2020-03-05 18:00:00,174
2020-03-06 18:00:00,222
2020-03-07 18:00:00,337
2020-03-08 18:00:00,451
2020-03-09 18:00:00,519
2020-03-10 18:00:00,711
2020-03-11 18:00:00,1109
2020-03-12 18:00:00,1561
2020-03-13 18:00:00,2157
2020-03-14 18:00:00,2870
2020-03-15 18:00:00,2968
2020-03-16 18:00:00,4360
2020-03-17 18:00:00,6141
2020-03-18 18:00:00,8917
2020-03-19 18:00:00,14157
2020-03-20 18:00:00,19479
2020-03-21 18:00:00,25825
2020-03-22 18:00:00,33761
2020-03-23 18:00:00,43850
2020-03-24 18:00:00,54112
2020-03-25 18:00:00,66055
2020-03-26 18:00:00,84091
2020-03-27 18:00:00,102276
2020-03-28 18:00:00,122069
2020-03-29 18:00:00,141205
2020-03-30 18:00:00,162707
2020-03-31 18:00:00,188724
2020-04-01 18:00:00,214205
2020-04-02 18:00:00,244610
2020-04-03 18:00:00,276547
2020-04-04 18:00:00,309699
2020-04-05 18:00:00,337573
2020-04-06 18:00:00,367215
2020-04-07 18:00:00,397992
2020-04-08 18:00:00,429686
2020-04-09 18:00:00,464442
2020-04-10 18:00:00,497943
2020-04-11 18:00:00,527969
2020-04-12 18:00:00,556522
2020-04-13 18:00:00,581813
2020-04-14 18:00:00,608878
2020-04-15 18:00:00,637974
2020-04-16 18:00:00,669272
2020-04-17 18:00:00,701996
2020-04-18 18:00:00,730337
2020-04-19 18:00:00,756375
2020-04-20 18:00:00,783716
2020-04-21 18:00:00,809228
2020-04-22 18:00:00,837422
2020-04-23 18:00:00,871617
2020-04-24 18:00:00,907908
2020-04-25 18:00:00,940829
2020-04-26 18:00:00,968518
2020-04-27 18:00:00,990999
2020-04-28 18:00:00,1015518
2020-04-29 18:00:00,1042926
2020-04-30 18:00:00,1072667
2020-05-01 18:00:00,1106829
2020-05-02 18:00:00,1136024
2020-05-03 18:00:00,1161611
2020-05-04 18:00:00,1184086
2020-05-05 18:00:00,1208271
2020-05-06 18:00:00,1233527
2020-05-07 18:00:00,1261409
2020-05-08 18:00:00,1288587
2020-05-09 18:00:00,1314320
2020-05-10 18:00:00,1334084
2020-05-11 18:00:00,1352962
2020-05-12 18:00:00,1374916
2020-05-13 18:00:00,1396109
2020-05-14 18:00:00,1423726
2020-05-15 18:00:00,1449026
2020-05-16 18:00:00,1474127
2020-05-17 18:00:00,1493131
2020-05-18 18:00:00,1514900
2020-05-19 18:00:00,1535349
2020-05-20 18:00:00,1558970
2020-05-21 18:00:00,1584511
2020-05-22 18:00:00,1608652
2020-05-23 18:00:00,1630475
2020-05-24 18:00:00,1651288
2020-05-25 18:00:00,1670279
2020-05-26 18:00:00,1689162
2020-05-27 18:00:00,1707444
2020-05-28 18:00:00,1730259
2020-05-29 18:00:00,1754763
2020-05-30 18:00:00,1778993
2020-05-31 18:00:00,1799122
2020-06-01 18:00:00,1816476
2020-06-02 18:00:00,1837371
2020-06-03 18:00:00,1857329
2020-06-04 18:00:00,1878680
2020-06-05 18:00:00,1903904
2020-06-06 18:00:00,1926636
2020-06-07 18:00:00,1944367
2020-06-08 18:00:00,1961781
2020-06-09 18:00:00,1979908
2020-06-10 18:00:00,2000702
2020-06-11 18:00:00,2023652
2020-06-12 18:00:00,2048986
2020-06-13 18:00:00,2074542
2020-06-14 18:00:00,2094366
2020-06-15 18:00:00,2114026
2020-06-16 18:00:00,2137731
2020-06-17 18:00:00,2163290
2020-06-18 18:00:00,2191099
2020-06-19 18:00:00,2222579
2020-06-20 18:00:00,2255327
2020-06-21 18:00:00,2281766
