datetime, value
2020-02-24 18:00:00,0
2020-02-25 18:00:00,0
2020-02-26 18:00:00,0
2020-02-27 18:00:00,0
2020-02-28 18:00:00,0
2020-02-29 17:00:00,0
2020-03-01 17:00:00,0
2020-03-02 17:00:00,0
2020-03-03 17:00:00,0
2020-03-04 17:00:00,0
2020-03-05 17:00:00,0
2020-03-06 18:00:00,0
2020-03-07 18:00:00,1
2020-03-08 18:00:00,1
2020-03-09 18:00:00,1
2020-03-10 18:00:00,11
2020-03-11 17:00:00,16
2020-03-12 17:00:00,17
2020-03-13 17:00:00,17
2020-03-14 17:00:00,17
2020-03-15 17:00:00,20
2020-03-16 17:00:00,22
2020-03-17 17:00:00,22
2020-03-18 17:00:00,24
2020-03-19 17:00:00,27
2020-03-20 17:00:00,31
2020-03-21 17:00:00,36
2020-03-22 17:00:00,41
2020-03-23 17:00:00,45
2020-03-24 17:00:00,47
2020-03-25 17:00:00,50
2020-03-26 17:00:00,55
2020-03-27 17:00:00,58
2020-03-28 17:00:00,58
2020-03-29 17:00:00,78
2020-03-30 17:00:00,89
2020-03-31 17:00:00,94
2020-04-01 17:00:00,96
2020-04-02 17:00:00,98
2020-04-03 17:00:00,100
2020-04-04 17:00:00,102
2020-04-05 17:00:00,107
2020-04-06 17:00:00,109
2020-04-07 17:00:00,110
2020-04-08 17:00:00,113
2020-04-09 17:00:00,115
2020-04-10 17:00:00,119
2020-04-11 17:00:00,123
2020-04-12 17:00:00,126
2020-04-13 17:00:00,128
2020-04-14 17:00:00,130
2020-04-15 17:00:00,131
2020-04-16 17:00:00,132
2020-04-17 17:00:00,132
2020-04-18 17:00:00,132
2020-04-19 17:00:00,132
2020-04-20 17:00:00,132
2020-04-21 17:00:00,132
2020-04-22 17:00:00,132
2020-04-23 17:00:00,132
2020-04-24 17:00:00,132
2020-04-25 17:00:00,132
2020-04-26 17:00:00,132
2020-04-27 17:00:00,133
2020-04-28 17:00:00,135
2020-04-29 17:00:00,135
2020-04-30 17:00:00,135
2020-05-01 17:00:00,135
2020-05-02 17:00:00,135
2020-05-03 17:00:00,135
2020-05-04 17:00:00,135
2020-05-05 17:00:00,135
2020-05-06 17:00:00,135
2020-05-07 17:00:00,135
2020-05-08 17:00:00,135
2020-05-09 17:00:00,137
2020-05-10 17:00:00,137
2020-05-11 17:00:00,137
2020-05-12 17:00:00,137
2020-05-13 17:00:00,141
2020-05-14 17:00:00,141
2020-05-15 17:00:00,141
2020-05-16 17:00:00,141
2020-05-17 17:00:00,141
2020-05-18 17:00:00,141
2020-05-19 17:00:00,141
2020-05-20 17:00:00,141
2020-05-21 17:00:00,141
2020-05-22 17:00:00,141
2020-05-23 17:00:00,141
2020-02-24 18:00:00,0
2020-02-25 18:00:00,0
2020-02-26 18:00:00,0
2020-02-27 18:00:00,0
2020-02-28 18:00:00,0
2020-02-29 17:00:00,0
2020-03-01 17:00:00,0
2020-03-02 17:00:00,0
2020-03-03 17:00:00,1
2020-03-04 17:00:00,16
2020-03-05 17:00:00,22
2020-03-06 18:00:00,32
2020-03-07 18:00:00,40
2020-03-08 18:00:00,60
2020-03-09 18:00:00,63
2020-03-10 18:00:00,65
2020-03-11 17:00:00,105
2020-03-12 17:00:00,132
2020-03-13 17:00:00,136
2020-03-14 17:00:00,182
2020-03-15 17:00:00,207
2020-03-16 17:00:00,273
2020-03-17 17:00:00,323
2020-03-18 17:00:00,374
2020-03-19 17:00:00,374
2020-03-20 17:00:00,595
2020-03-21 17:00:00,654
2020-03-22 17:00:00,760
2020-03-23 17:00:00,817
2020-03-24 17:00:00,946
2020-03-25 17:00:00,946
2020-03-26 17:00:00,980
2020-03-27 17:00:00,1106
2020-03-28 17:00:00,1197
2020-03-29 17:00:00,1255
2020-03-30 17:00:00,1280
2020-03-31 17:00:00,1317
2020-04-01 17:00:00,1378
2020-04-02 17:00:00,1428
2020-04-03 17:00:00,1491
2020-04-04 17:00:00,1591
2020-04-05 17:00:00,1763
2020-04-06 17:00:00,1904
2020-04-07 17:00:00,1946
2020-04-08 17:00:00,2016
2020-04-09 17:00:00,2081
2020-04-10 17:00:00,2119
2020-04-11 17:00:00,2191
2020-04-12 17:00:00,2248
2020-04-13 17:00:00,2315
2020-04-14 17:00:00,2367
2020-04-15 17:00:00,2407
2020-04-16 17:00:00,2580
2020-04-17 17:00:00,2696
2020-04-18 17:00:00,2752
2020-04-19 17:00:00,2783
2020-04-20 17:00:00,2815
2020-04-21 17:00:00,2899
2020-04-22 17:00:00,3008
2020-04-23 17:00:00,3034
2020-04-24 17:00:00,3114
2020-04-25 17:00:00,3180
2020-04-26 17:00:00,3188
2020-04-27 17:00:00,3271
2020-04-28 17:00:00,3318
2020-04-29 17:00:00,3346
2020-04-30 17:00:00,3417
2020-05-01 17:00:00,3491
2020-05-02 17:00:00,3559
2020-05-03 17:00:00,3584
2020-05-04 17:00:00,3593
2020-05-05 17:00:00,3606
2020-05-06 17:00:00,3622
2020-05-07 17:00:00,3654
2020-05-08 17:00:00,3712
2020-05-09 17:00:00,3723
2020-05-10 17:00:00,3730
2020-05-11 17:00:00,3732
2020-05-12 17:00:00,3744
2020-05-13 17:00:00,3755
2020-05-14 17:00:00,3769
2020-05-15 17:00:00,3779
2020-05-16 17:00:00,3789
2020-05-17 17:00:00,3796
2020-05-18 17:00:00,3800
2020-05-19 17:00:00,3807
2020-05-20 17:00:00,3813
2020-05-21 17:00:00,3829
2020-05-22 17:00:00,3835
2020-05-23 17:00:00,3845
2020-02-24 18:00:00,0
2020-02-25 18:00:00,0
2020-02-26 18:00:00,0
2020-02-27 18:00:00,0
2020-02-28 18:00:00,0
2020-02-29 17:00:00,0
2020-03-01 17:00:00,1
2020-03-02 17:00:00,2
2020-03-03 17:00:00,5
2020-03-04 17:00:00,9
2020-03-05 17:00:00,19
2020-03-06 18:00:00,23
2020-03-07 18:00:00,38
2020-03-08 18:00:00,54
2020-03-09 18:00:00,63
2020-03-10 18:00:00,81
2020-03-11 17:00:00,110
2020-03-12 17:00:00,142
2020-03-13 17:00:00,158
2020-03-14 17:00:00,215
2020-03-15 17:00:00,267
2020-03-16 17:00:00,323
2020-03-17 17:00:00,356
2020-03-18 17:00:00,403
2020-03-19 17:00:00,447
2020-03-20 17:00:00,513
2020-03-21 17:00:00,564
2020-03-22 17:00:00,676
2020-03-23 17:00:00,702
2020-03-24 17:00:00,751
2020-03-25 17:00:00,820
2020-03-26 17:00:00,869
2020-03-27 17:00:00,905
2020-03-28 17:00:00,944
2020-03-29 17:00:00,1019
2020-03-30 17:00:00,1060
2020-03-31 17:00:00,1116
2020-04-01 17:00:00,1174
2020-04-02 17:00:00,1211
2020-04-03 17:00:00,1263
2020-04-04 17:00:00,1290
2020-04-05 17:00:00,1356
2020-04-06 17:00:00,1401
2020-04-07 17:00:00,1429
2020-04-08 17:00:00,1455
2020-04-09 17:00:00,1481
2020-04-10 17:00:00,1501
2020-04-11 17:00:00,1547
