datetime,totale_positivi
2020-02-24 18:00:00,1
2020-02-25 18:00:00,1
2020-02-26 18:00:00,1
2020-02-27 18:00:00,1
2020-02-28 18:00:00,1
2020-02-29 18:00:00,1
2020-03-01 18:00:00,2
2020-03-02 18:00:00,8
2020-03-03 18:00:00,13
2020-03-04 18:00:00,23
2020-03-05 18:00:00,50
2020-03-06 18:00:00,109
2020-03-07 18:00:00,169
2020-03-08 18:00:00,200
2020-03-09 18:00:00,239
2020-03-10 18:00:00,267
2020-03-11 18:00:00,314
2020-03-12 18:00:00,314
2020-03-13 18:00:00,559
2020-03-14 18:00:00,689
2020-03-15 18:00:00,886
2020-03-16 18:00:00,1058
2020-03-17 18:00:00,1243
2020-03-18 18:00:00,1486
2020-03-19 18:00:00,1795
2020-03-20 18:00:00,2257
2020-03-21 18:00:00,2815
2020-03-22 18:00:00,3401
2020-03-23 18:00:00,3743
2020-03-24 18:00:00,4269
2020-03-25 18:00:00,4937
2020-03-26 18:00:00,6235
2020-03-27 18:00:00,7284
2020-03-28 18:00:00,9134
2020-03-29 18:00:00,10836
2020-03-30 18:00:00,11899
2020-03-31 18:00:00,12775
2020-04-01 18:00:00,13964
2020-04-02 18:00:00,15348
2020-04-03 18:00:00,16770
2020-04-04 18:00:00,18431
2020-04-05 18:00:00,19691
2020-04-06 18:00:00,20814
2020-04-07 18:00:00,22194
2020-04-08 18:00:00,23403
2020-04-09 18:00:00,24983
2020-04-10 18:00:00,26667
2020-04-11 18:00:00,28018
2020-04-12 18:00:00,29647
2020-04-13 18:00:00,30589
2020-04-14 18:00:00,31119
2020-04-15 18:00:00,33573
2020-04-16 18:00:00,34809
2020-04-17 18:00:00,36138
2020-04-18 18:00:00,37183
2020-04-19 18:00:00,38496
2020-04-20 18:00:00,39983
2020-04-21 18:00:00,40956
2020-04-22 18:00:00,41889
2020-04-23 18:00:00,42797
2020-04-24 18:00:00,44293
2020-04-25 18:00:00,45325
2020-04-26 18:00:00,46134
2020-04-27 18:00:00,46687
2020-04-28 18:00:00,47334
2020-04-29 18:00:00,47859
2020-04-30 18:00:00,48519
2020-05-01 18:00:00,49032
2020-05-02 18:00:00,49517
2020-05-03 18:00:00,49906
2020-05-04 18:00:00,50267
2020-05-05 18:00:00,50509
2020-05-06 18:00:00,50781
2020-05-07 18:00:00,51420
2020-05-08 18:00:00,52011
2020-05-09 18:00:00,52596
2020-05-10 18:00:00,53081
2020-05-11 18:00:00,53449
2020-05-12 18:00:00,53779
2020-05-13 18:00:00,53981
2020-05-14 18:00:00,54288
2020-05-15 18:00:00,54644
2020-05-16 18:00:00,54989
2020-05-17 18:00:00,55280
2020-05-18 18:00:00,55559
2020-05-19 18:00:00,55791
2020-05-20 18:00:00,55983
2020-05-21 18:00:00,56235
2020-05-22 18:00:00,56511
2020-05-23 18:00:00,56810
2020-05-24 18:00:00,57092
2020-05-25 18:00:00,57342
2020-05-26 18:00:00,57455
2020-05-27 18:00:00,57592
2020-05-28 18:00:00,57849
2020-05-29 18:00:00,58061
2020-05-30 18:00:00,58186
2020-05-31 18:00:00,58381
2020-06-01 18:00:00,58517
2020-06-02 18:00:00,58615
2020-06-03 18:00:00,58685
2020-06-04 18:00:00,58767
2020-06-05 18:00:00,58907
2020-06-06 18:00:00,59072
2020-06-07 18:00:00,59226
2020-06-08 18:00:00,59348
2020-06-09 18:00:00,59437
2020-06-10 18:00:00,59569
2020-06-11 18:00:00,59711
2020-06-12 18:00:00,59819
2020-06-13 18:00:00,59918
2020-06-14 18:00:00,60029
2020-06-15 18:00:00,60100
2020-06-16 18:00:00,60155
2020-06-17 18:00:00,60244
2020-06-18 18:00:00,60348
2020-06-19 18:00:00,60476
2020-06-20 18:00:00,60550
2020-06-21 18:00:00,60550
2020-06-22 18:00:00,60550
2020-06-23 18:00:00,60810
2020-06-24 18:00:00,60898
2020-06-25 18:00:00,61007
2020-06-26 18:00:00,61106
2020-06-27 18:00:00,61209
2020-06-28 18:00:00,61295
2020-06-29 18:00:00,61361
2020-06-30 18:00:00,61427
2020-07-01 18:00:00,61509
