datetime,totale_positivi
2020-02-24 18:00:00,1
2020-02-25 18:00:00,1
2020-02-26 18:00:00,1
2020-02-27 18:00:00,1
2020-02-28 18:00:00,1
2020-02-29 18:00:00,1
2020-03-01 18:00:00,2
2020-03-02 18:00:00,2
2020-03-03 18:00:00,3
2020-03-04 18:00:00,3
2020-03-05 18:00:00,4
2020-03-06 18:00:00,7
2020-03-07 18:00:00,12
2020-03-08 18:00:00,13
2020-03-09 18:00:00,14
2020-03-10 18:00:00,23
2020-03-11 18:00:00,26
2020-03-12 18:00:00,46
2020-03-13 18:00:00,70
2020-03-14 18:00:00,70
2020-03-15 18:00:00,109
2020-03-16 18:00:00,141
2020-03-17 18:00:00,210
2020-03-18 18:00:00,326
2020-03-19 18:00:00,434
2020-03-20 18:00:00,564
2020-03-21 18:00:00,764
2020-03-22 18:00:00,1000
2020-03-23 18:00:00,1222
2020-03-24 18:00:00,1467
2020-03-25 18:00:00,1971
2020-03-26 18:00:00,2478
2020-03-27 18:00:00,3198
2020-03-28 18:00:00,4038
2020-03-29 18:00:00,4943
2020-03-30 18:00:00,5695
2020-03-31 18:00:00,6742
2020-04-01 18:00:00,7769
2020-04-02 18:00:00,9000
2020-04-03 18:00:00,10260
2020-04-04 18:00:00,11537
2020-04-05 18:00:00,12342
2020-04-06 18:00:00,13621
2020-04-07 18:00:00,14739
2020-04-08 18:00:00,15690
2020-04-09 18:00:00,16819
2020-04-10 18:00:00,17960
2020-04-11 18:00:00,18978
2020-04-12 18:00:00,19855
2020-04-13 18:00:00,21011
2020-04-14 18:00:00,21620
2020-04-15 18:00:00,22526
2020-04-16 18:00:00,23332
2020-04-17 18:00:00,24745
2020-04-18 18:00:00,25484
2020-04-19 18:00:00,26306
2020-04-20 18:00:00,27050
2020-04-21 18:00:00,27861
2020-04-22 18:00:00,28301
2020-04-23 18:00:00,29640
2020-04-24 18:00:00,30525
2020-04-25 18:00:00,30831
2020-04-26 18:00:00,31520
2020-04-27 18:00:00,32130
2020-04-28 18:00:00,32838
2020-04-29 18:00:00,33185
2020-04-30 18:00:00,33683
2020-05-01 18:00:00,34720
2020-05-02 18:00:00,35455
2020-05-03 18:00:00,36070
2020-05-04 18:00:00,36889
2020-05-05 18:00:00,37431
2020-05-06 18:00:00,37994
2020-05-07 18:00:00,38820
2020-05-08 18:00:00,39191
2020-05-09 18:00:00,39993
2020-05-10 18:00:00,40588
2020-05-11 18:00:00,40974
2020-05-12 18:00:00,41915
2020-05-13 18:00:00,42394
2020-05-14 18:00:00,43202
2020-05-15 18:00:00,44130
2020-05-16 18:00:00,44803
2020-05-17 18:00:00,45580
2020-05-18 18:00:00,46434
2020-05-19 18:00:00,46936
2020-05-20 18:00:00,47463
2020-05-21 18:00:00,48667
2020-05-22 18:00:00,49443
2020-05-23 18:00:00,50119
2020-05-24 18:00:00,50859
2020-05-25 18:00:00,51738
2020-05-26 18:00:00,52247
2020-05-27 18:00:00,52626
2020-05-28 18:00:00,53277
2020-05-29 18:00:00,54489
2020-05-30 18:00:00,55416
2020-05-31 18:00:00,56155
2020-06-01 18:00:00,56822
2020-06-02 18:00:00,57439
2020-06-03 18:00:00,58756
2020-06-04 18:00:00,60175
2020-06-05 18:00:00,61480
2020-06-06 18:00:00,62750
2020-06-07 18:00:00,63930
2020-06-08 18:00:00,64896
2020-06-09 18:00:00,65992
2020-06-10 18:00:00,67363
2020-06-11 18:00:00,69061
2020-06-12 18:00:00,70963
2020-06-13 18:00:00,73544
2020-06-14 18:00:00,75560
2020-06-15 18:00:00,77318
2020-06-16 18:00:00,80101
2020-06-17 18:00:00,82711
2020-06-18 18:00:00,85918
2020-06-19 18:00:00,89740
2020-06-20 18:00:00,93789
2020-06-21 18:00:00,97283
2020-06-22 18:00:00,100209
2020-06-23 18:00:00,103495
2020-06-24 18:00:00,109006
2020-06-25 18:00:00,114010
2020-06-26 18:00:00,122952
2020-06-27 18:00:00,132537
2020-06-28 18:00:00,141067
2020-06-29 18:00:00,146333
2020-06-30 18:00:00,152426
2020-07-01 18:00:00,158227
