datetime,totale_positivi
2020-02-24 18:00:00,0
2020-02-25 18:00:00,0
2020-02-26 18:00:00,0
2020-02-27 18:00:00,0
2020-02-28 18:00:00,0
2020-02-29 18:00:00,0
2020-03-01 18:00:00,1
2020-03-02 18:00:00,1
2020-03-03 18:00:00,2
2020-03-04 18:00:00,11
2020-03-05 18:00:00,22
2020-03-06 18:00:00,44
2020-03-07 18:00:00,89
2020-03-08 18:00:00,106
2020-03-09 18:00:00,142
2020-03-10 18:00:00,173
2020-03-11 18:00:00,217
2020-03-12 18:00:00,326
2020-03-13 18:00:00,421
2020-03-14 18:00:00,610
2020-03-15 18:00:00,732
2020-03-16 18:00:00,950
2020-03-17 18:00:00,1375
2020-03-18 18:00:00,2387
2020-03-19 18:00:00,4161
2020-03-20 18:00:00,7113
2020-03-21 18:00:00,10371
2020-03-22 18:00:00,15188
2020-03-23 18:00:00,20899
2020-03-24 18:00:00,25704
2020-03-25 18:00:00,33117
2020-03-26 18:00:00,39058
2020-03-27 18:00:00,44746
2020-03-28 18:00:00,53517
2020-03-29 18:00:00,59783
2020-03-30 18:00:00,67504
2020-03-31 18:00:00,76211
2020-04-01 18:00:00,84364
2020-04-02 18:00:00,93360
2020-04-03 18:00:00,103689
2020-04-04 18:00:00,115963
2020-04-05 18:00:00,124085
2020-04-06 18:00:00,133389
2020-04-07 18:00:00,141703
2020-04-08 18:00:00,151271
2020-04-09 18:00:00,162036
2020-04-10 18:00:00,172830
2020-04-11 18:00:00,182990
2020-04-12 18:00:00,191425
2020-04-13 18:00:00,197973
2020-04-14 18:00:00,205375
2020-04-15 18:00:00,217130
2020-04-16 18:00:00,225761
2020-04-17 18:00:00,233293
2020-04-18 18:00:00,240542
2020-04-19 18:00:00,246741
2020-04-20 18:00:00,251608
2020-04-21 18:00:00,255932
2020-04-22 18:00:00,261591
2020-04-23 18:00:00,267932
2020-04-24 18:00:00,276218
2020-04-25 18:00:00,286901
2020-04-26 18:00:00,292914
2020-04-27 18:00:00,296991
2020-04-28 18:00:00,300276
2020-04-29 18:00:00,304994
2020-04-30 18:00:00,309696
2020-05-01 18:00:00,313575
2020-05-02 18:00:00,318134
2020-05-03 18:00:00,321833
2020-05-04 18:00:00,324357
2020-05-05 18:00:00,326659
2020-05-06 18:00:00,329405
2020-05-07 18:00:00,332931
2020-05-08 18:00:00,335804
2020-05-09 18:00:00,338519
2020-05-10 18:00:00,340657
2020-05-11 18:00:00,342267
2020-05-12 18:00:00,343705
2020-05-13 18:00:00,345828
2020-05-14 18:00:00,348192
2020-05-15 18:00:00,350951
2020-05-16 18:00:00,353136
2020-05-17 18:00:00,355037
2020-05-18 18:00:00,356278
2020-05-19 18:00:00,357757
2020-05-20 18:00:00,359235
2020-05-21 18:00:00,361313
2020-05-22 18:00:00,362991
2020-05-23 18:00:00,364745
2020-05-24 18:00:00,366346
2020-05-25 18:00:00,367625
2020-05-26 18:00:00,368669
2020-05-27 18:00:00,369801
2020-05-28 18:00:00,371559
2020-05-29 18:00:00,373108
2020-05-30 18:00:00,374471
2020-05-31 18:00:00,375575
2020-06-01 18:00:00,376520
2020-06-02 18:00:00,377881
2020-06-03 18:00:00,378924
2020-06-04 18:00:00,379977
2020-06-05 18:00:00,381019
2020-06-06 18:00:00,382102
2020-06-07 18:00:00,382879
2020-06-08 18:00:00,383591
2020-06-09 18:00:00,384281
2020-06-10 18:00:00,384945
2020-06-11 18:00:00,385669
2020-06-12 18:00:00,386490
2020-06-13 18:00:00,387402
2020-06-14 18:00:00,388096
2020-06-15 18:00:00,388719
2020-06-16 18:00:00,389349
2020-06-17 18:00:00,389910
2020-06-18 18:00:00,390536
2020-06-19 18:00:00,391330
2020-06-20 18:00:00,392037
2020-06-21 18:00:00,392702
2020-06-22 18:00:00,393257
2020-06-23 18:00:00,393855
2020-06-24 18:00:00,394430
2020-06-25 18:00:00,395168
2020-06-26 18:00:00,395972
2020-06-27 18:00:00,396669
2020-06-28 18:00:00,397293
2020-06-29 18:00:00,397684
2020-06-30 18:00:00,398142
