datetime,totale_positivi
2020-02-24 18:00:00,5
2020-02-25 18:00:00,5
2020-02-26 18:00:00,5
2020-02-27 18:00:00,5
2020-02-28 18:00:00,7
2020-02-29 18:00:00,10
2020-03-01 18:00:00,17
2020-03-02 18:00:00,23
2020-03-03 18:00:00,32
2020-03-04 18:00:00,47
2020-03-05 18:00:00,75
2020-03-06 18:00:00,86
2020-03-07 18:00:00,110
2020-03-08 18:00:00,141
2020-03-09 18:00:00,179
2020-03-10 18:00:00,279
2020-03-11 18:00:00,338
2020-03-12 18:00:00,419
2020-03-13 18:00:00,511
2020-03-14 18:00:00,609
2020-03-15 18:00:00,675
2020-03-16 18:00:00,794
2020-03-17 18:00:00,908
2020-03-18 18:00:00,1026
2020-03-19 18:00:00,1228
2020-03-20 18:00:00,1404
2020-03-21 18:00:00,1655
2020-03-22 18:00:00,1844
2020-03-23 18:00:00,2101
2020-03-24 18:00:00,2469
2020-03-25 18:00:00,2585
2020-03-26 18:00:00,3208
2020-03-27 18:00:00,3770
2020-03-28 18:00:00,4311
2020-03-29 18:00:00,4897
2020-03-30 18:00:00,5180
2020-03-31 18:00:00,5293
2020-04-01 18:00:00,5589
2020-04-02 18:00:00,6586
2020-04-03 18:00:00,6967
2020-04-04 18:00:00,7499
2020-04-05 18:00:00,7985
2020-04-06 18:00:00,8385
2020-04-07 18:00:00,8683
2020-04-08 18:00:00,9098
2020-04-09 18:00:00,9609
2020-04-10 18:00:00,9888
2020-04-11 18:00:00,10227
2020-04-12 18:00:00,10414
2020-04-13 18:00:00,10547
2020-04-14 18:00:00,10711
2020-04-15 18:00:00,10806
2020-04-16 18:00:00,11180
2020-04-17 18:00:00,11479
2020-04-18 18:00:00,11850
2020-04-19 18:00:00,11864
2020-04-20 18:00:00,12255
2020-04-21 18:00:00,12410
2020-04-22 18:00:00,12606
2020-04-23 18:00:00,12981
2020-04-24 18:00:00,13197
2020-04-25 18:00:00,13565
2020-04-26 18:00:00,13744
2020-04-27 18:00:00,13958
2020-04-28 18:00:00,14165
2020-04-29 18:00:00,14490
2020-04-30 18:00:00,14814
2020-05-01 18:00:00,15134
2020-05-02 18:00:00,15383
2020-05-03 18:00:00,15943
2020-05-04 18:00:00,16047
2020-05-05 18:00:00,16234
2020-05-06 18:00:00,16873
2020-05-07 18:00:00,17187
2020-05-08 18:00:00,17477
2020-05-09 18:00:00,17629
2020-05-10 18:00:00,17781
2020-05-11 18:00:00,18172
2020-05-12 18:00:00,18382
2020-05-13 18:00:00,18492
2020-05-14 18:00:00,18861
2020-05-15 18:00:00,19131
2020-05-16 18:00:00,19336
2020-05-17 18:00:00,19514
2020-05-18 18:00:00,19756
2020-05-19 18:00:00,19988
2020-05-20 18:00:00,20110
2020-05-21 18:00:00,20280
2020-05-22 18:00:00,20526
2020-05-23 18:00:00,20740
2020-05-24 18:00:00,20989
2020-05-25 18:00:00,21265
2020-05-26 18:00:00,21538
2020-05-27 18:00:00,21825
2020-05-28 18:00:00,22091
2020-05-29 18:00:00,22377
2020-05-30 18:00:00,22618
2020-05-31 18:00:00,22814
2020-06-01 18:00:00,23272
2020-06-02 18:00:00,23608
2020-06-03 18:00:00,23776
2020-06-04 18:00:00,23999
2020-06-05 18:00:00,24546
2020-06-06 18:00:00,24767
2020-06-07 18:00:00,25064
2020-06-08 18:00:00,25593
2020-06-09 18:00:00,25796
2020-06-10 18:00:00,25940
2020-06-11 18:00:00,26172
2020-06-12 18:00:00,26576
2020-06-13 18:00:00,26920
2020-06-14 18:00:00,27135
2020-06-15 18:00:00,27577
2020-06-16 18:00:00,27949
2020-06-17 18:00:00,28270
2020-06-18 18:00:00,28663
2020-06-19 18:00:00,29045
2020-06-20 18:00:00,29466
2020-06-21 18:00:00,29797
2020-06-22 18:00:00,30443
2020-06-23 18:00:00,30778
2020-06-24 18:00:00,31400
2020-06-25 18:00:00,31998
2020-06-26 18:00:00,32489
2020-06-27 18:00:00,33031
2020-06-28 18:00:00,33341
2020-06-29 18:00:00,34036
2020-06-30 18:00:00,34541
2020-07-01 18:00:00,34743
